critics_name,critics_cn,movie_name,movie_dir,movie_genre,movie_year,dir_country_cleaned,imdb_score_cleaned,douban_score
Shiguehiko Hasumi ,Japan,Seventh Code,Kiyoshi Kurosawa,"Mystery, Thriller",2013,Japan,5.7,6.5
Isabelle Regnier ,France,Shara,Naomi Kawase,Drama,2003,Japan,7.7,7.7
Simon Abrams ,US,Sparrow,Johnnie To,"Drama, Romance",2008,China,6.7,6.3
Sam Adams ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Tim Appelo ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Cameron Bailey ,Canada,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Lindsay Baker ,UK,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Diego Batlle ,Argentina,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Luke Buckmaster ,Australia,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Monica Castillo ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Robbie Collin ,UK,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Oggs Cruz ,Philippines,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Alonso Duralde ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Javier Porta ,Argentina,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Antoine Guillot ,France,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Hauvick Habechian ,Lebanon,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Zhanna Issabayeva ,Kazakhstan,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Manuel Kalmanovitz ,Colombia,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Dan Kois ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Maggie Lee ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Guy Lodge ,UK,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Verena Lueken ,Germany,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Lee Marshall ,Italy,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Antonio Mart√≠nez ,Chile,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Susanne Ostwald ,Switzerland,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Matthew Patches ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Hannah Pilarczyk ,Germany,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Zakir Hossein ,Bangladesh,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Tasha Robinson ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Rene Rodriguez ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Alyssa Rosenberg ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Eric Sasono ,Indonesia,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Yael Shuv ,Israel,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Alin Tasciyan ,Turkey,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Stephen Teo ,Singapore,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Rahul Verma ,UK,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Chadi Zeneddine ,Qatar,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6,9.3
Luciano Castillo ,Cuba,"Spring, Summer, Fall, Winter®πand Spring",Kim Ki-duk,"Drama, Romance",2003,South Korea,8.1,8.5
Mario Naito ,Cuba,"Spring, Summer, Fall, Winter®πand Spring",Kim Ki-duk,"Drama, Romance",2003,South Korea,8.1,8.5
Zakir Hossein ,Bangladesh,"Spring, Summer, Fall, Winter®πand Spring",Kim Ki-duk,"Drama, Romance",2003,South Korea,8.1,8.5
Joseph Fahim ,Egypt,Still Life,Jia Zhangke,"Comedy, Drama, Romance",2006,China,5.6,8.0
Stephen Teo ,Singapore,Still Life,Jia Zhangke,"Comedy, Drama, Romance",2006,China,5.6,8.0
Raymond Zhou ,China,Still Life,Jia Zhangke,"Comedy, Drama, Romance",2006,China,5.6,8.0
Yael Shuv ,Israel,Still Walking,Hirokazu Koreeda,Drama,2008,Japan,8.0,8.8
Fernanda Sol√≥rzano ,Mexico,Still Walking,Hirokazu Koreeda,Drama,2008,Japan,8.0,8.8
David Stratton ,Australia,Still Walking,Hirokazu Koreeda,Drama,2008,Japan,8.0,8.8
Tina Hassannia ,Canada,Stray Dogs,Tsai Ming-liang,"Crime, Drama, Thriller",2013,Malaysia,6.8,7.2
