critics_name,critics_cn,movie_name,movie_dir,movie_genre,movie_year,dir_country_cleaned,imdb_score_cleaned,douban_score
Zakir Hossein ,Bangladesh,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
Sam Rigby ,UK,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
E Nina ,Italy,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
Missy Schwartz ,US,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
Chadi Zeneddine ,Qatar,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7,8.7
Maggie Lee ,US,CafÈ LumiËre,Hou Hsiao-hsien,Drama,2003,China,7.0,7.5
Joe McElhaney ,US,CafÈ LumiËre,Hou Hsiao-hsien,Drama,2003,China,7.0,7.5
E Nina ,Italy,Caramel,Nadine Labaki,"Comedy, Drama, Romance",2007,Lebanon,7.1,7.8
Simon Abrams ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3,
Sam Adams ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3,
David Ehrlich ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3,
Ed Gonzalez ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3,
Peter Howell ,Canada,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3,
Adrian Martin ,Australia,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3,
